key
-able
"-acho, cha"
"presentador, ra"
"presentáneo, a"
"preservador, ra"
"preservativo, va"
"presidente, ta"
"presidiario, ria"
"preso, sa"
"presocrático, ca"
"prestadizo, za"
"prestador, ra"
"prestatario, ria"
"prestidigitador, ra"
"prestigiador, ra"
"prestigioso, sa"
"presto, ta"
"prestímano, na"
"presumido, da"
"presuncioso, sa"
"presuntivo, va"
"presunto, ta"
"presuntuoso, sa"
"presupuestario, ria"
"presuroso, sa"
"pretencioso, sa"
"pretendido, da"
"pretendiente, ta"
"pretensioso, sa"
"pretenso, sa"
"pretensor, ra"
"pretoriano, na"
"pretorio, ria"
"pretérito, ta"
"pretónico, ca"
"preuniversitario, ria"
"prevaricador, ra"
"prevenido, da"
"preventivo, va"
"previo, via"
"previsivo, va"
"previsor, ra"
"previsorio, ria"
"previsto, ta"
"preñado, da"
"prieto, ta"
"primado, da"
"primal, la"
"primario, ria"
"primatólogo, ga"
"primerizo, za"
"primero, ra"
"primevo, va"
"primicerio, ria"
"primigenio, nia"
"primitivo, va"
"primo, ma"
"primogénito, ta"
"primoroso, sa"
"primuláceo, a"
"principesco, ca"
"principiador, ra"
"principiante, ta"
"pringado, da"
"pringoso, sa"
"pringón, na"
"prior, ra"
"prioritario, ria"
"prioste, ta"
"prisciliano, na"
"prisionero, ra"
"prismático, ca"
"privado, da"
"privativo, va"
"privatizador, ra"
"privilegiado, da"
"privilegiativo, va"
"priápico, ca"
"proactivo, va"
"probabilístico, ca"
"probado, da"
"probador, ra"
"probativo, va"
"probatorio, ria"
"probiótico, ca"
"problemático, ca"
"probo, ba"
"probón, na"
"procariótico, ca"
"proceloso, sa"
"procero, ra"
"proceroso, sa"
"procesado, da"
"procesador, ra"
"procesionario, ria"
"proclítico, ca"
"procrastinador, ra"
"procreador, ra"
"procreativo, va"
"proctológico, ca"
"proctólogo, ga"
"procurador, ra"
"prodigioso, sa"
"proditorio, ria"
"prodrómico, ca"
"producidor, ra"
"productivo, va"
"productor, ra"
"profanador, ra"
"profano, na"
"profazador, ra"
"profe, fa"
"profeso, sa"
"profesor, ra"
"profeta, tisa"
"profetizador, ra"
"proficuo, cua"
"profiláctico, ca"
"profundo, da"
"profuso, sa"
"profético, ca"
"progenitor, ra"
"progestágeno, na"
"prognato, ta"
"programado, da"
"programador, ra"
"programático, ca"
"progresivo, va"
"prohibido, da"
"prohibidor, ra"
"prohibitivo, va"
"prohibitorio, ria"
"prohijador, ra"
"proindiviso, sa"
"proletario, ria"
"proletarizador, ra"
"proliferativo, va"
"prolijo, ja"
"prolongado, da"
"prolongador, ra"
"prolífero, ra"
"prolífico, ca"
"promesero, ra"
"prometedor, ra"
"prometeico, ca"
"prometido, da"
"promiscuo, cua"
"promisor, ra"
"promisorio, ria"
"promotor, ra"
"promovedor, ra"
"promulgador, ra"
"prono, na"
"pronosticador, ra"
"pronto, ta"
"pronunciador, ra"
"propagador, ra"
"propagandístico, ca"
"propagativo, va"
"propalador, ra"
"proparoxítono, na"
"propedéutico, ca"
"propenso, sa"
"propiciador, ra"
"propiciatorio, ria"
"propicio, cia"
"propietario, ria"
"propincuo, cua"
"propio, pia"
"propioceptivo, va"
"proponedor, ra"
"proporcionado, da"
"propositivo, va"
"proprio, pria"
"propuesto, ta"
"propugnador, ra"
"propulsor, ra"
"prorrogativo, va"
"prosado, da"
"prosador, ra"
"prosaico, ca"
"proscripto, ta"
"proscriptor, ra"
"proscrito, ta"
"prosecretario, ria"
"prosificador, ra"
"prosopopéyico, ca"
"prospectivo, va"
"prospector, ra"
"prosperado, da"
"prostibulario, ria"
"prostituto, ta"
"prostático, ca"
"prostético, ca"
"prosudo, da"
"prosélito, ta"
"prosístico, ca"
"prosódico, ca"
"protagonístico, ca"
"protagónico, ca"
"protector, ra"
"protectorio, ria"
"protegido, da"
"proteico, ca"
"protervo, va"
"protesorero, ra"
"protestatario, ria"
"protestativo, va"
"protestón, na"
"proteáceo, a"
"proteínico, ca"
"protocolario, ria"
"protohistórico, ca"
"protoplasmático, ca"
"prototípico, ca"
"protozoario, ria"
"protutor, ra"
"protésico, ca"
"protético, ca"
"protónico, ca"
"proustiano, na"
"provechoso, sa"
"provecto, ta"
"proveedor, ra"
"provicario, ria"
"provinciano, na"
"provisor, ra"
"provisorio, ria"
"provisto, ta"
"provocador, ra"
"provocativo, va"
"proxenético, ca"
"proxémico, ca"
"proyectivo, va"
"proyecto, ta"
"pruinoso, sa"
"pruriginoso, sa"
"prusiano, na"
"prácrito, ta"
"práctico, ca"
"présago, ga"
"príncipe, princesa"
"prístino, na"
"prócero, ra"
"pródigo, ga"
"prófugo, ga"
"prójimo, ma"
"próspero, ra"
"próstilo, la"
"próvido, da"
"próximo, ma"
"pseudocientífico, ca"
"pseudopartitivo, va"
"pseudónimo, ma"
"psicasténico, ca"
"psicoactivo, va"
"psicoanalítico, ca"
"psicobiológico, ca"
"psicodinámico, ca"
"psicodramático, ca"
"psicodélico, ca"
"psicofisiológico, ca"
"psicofísico, ca"
"psicogénico, ca"
"psicolingüístico, ca"
"psicológico, ca"
"psicomotor, ra"
"psicométrico, ca"
"psicopatológico, ca"
"psicopedagogo, ga"
"psicopedagógico, ca"
"psicopático, ca"
"psicosociológico, ca"
"psicosociólogo, ga"
"psicosomático, ca"
"psicoterapéutico, ca"
"psicoterápico, ca"
"psicotrópico, ca"
"psicotécnico, ca"
"psicógeno, na"
"psicólogo, ga"
"psicótico, ca"
"psiquiátrico, ca"
"psoriásico, ca"
"psíquico, ca"
"pteridofito, ta"
"pteridófito, ta"
"ptero-, ‒́ptero, ra"
"ptolemaico, ca"
"ptolomeico, ca"
"pubiano, na"
"publicador, ra"
"publicitario, ria"
"pucallpeño, ña"
"pucallpino, na"
"pucciniano, na"
"pucelano, na"
"pudendo, da"
"pudibundo, da"
"pudoroso, sa"
"pueblerino, na"
"pueblero, ra"
"puentealtino, na"
"puerco, ca"
"puericultor, ra"
"puertoaisenino, na"
"puertobarreño, ña"
"puertomontino, na"
"puertoplateño, ña"
"puertorriqueño, ña"
"puestero, ra"
"puesto, ta"
"pugilístico, ca"
"pujador, ra"
"pulcro, cra"
"pulento, ta"
"pulgoso, sa"
"pulguero, ra"
"pulguiento, ta"
"pulido, da"
"pulidor, ra"
"pullés, sa"
"pulmoniaco, ca"
"pulmoníaco, ca"
"pulpero, ra"
"pulposo, sa"
"pulquero, ra"
"pulquérrimo, ma"
"pulsador, ra"
"pulsativo, va"
"pultáceo, a"
"pulverulento, ta"
"punateño, ña"
"pundonoroso, sa"
"puneño, ña"
"pungitivo, va"
"punicáceo, a"
"punidor, ra"
"punitivo, va"
"puntano, na"
"puntero, ra"
"puntiagudo, da"
"puntilloso, sa"
"puntiseco, ca"
"puntoso, sa"
"puntudo, da"
"puntuoso, sa"
"punzador, ra"
"pupilero, ra"
"pupilo, la"
"puposo, sa"
"purgador, ra"
"purgativo, va"
"purgatorio, ria"
"purificadero, ra"
"purificador, ra"
"purificatorio, ria"
"puritano, na"
"puro, ra"
"purpurino, na"
"purpúreo, a"
"purulento, ta"
"pusilánimo, ma"
"puspo, pa"
"pustuloso, sa"
"putativo, va"
"putesco, ca"
"puto, ta"
"putrefactivo, va"
"putrefacto, ta"
"putreño, ña"
"puyado, da"
"puyudo, da"
"puñetero, ra"
"pájaro, ra"
"pálido, da"
"pánfilo, la"
"pánico, ca"
"páparo, ra"
"párido, da"
"párvulo, la"
"pávido, da"
"pélvico, ca"
"péndulo, la"
"pérfido, da"
"pérmico, ca"
"pérsico, ca"
"pésico, ca"
"pésimo, ma"
"pétreo, a"
"pícaro, ra"
"píceo, a"
"pícnico, ca"
"pío, a"
"pírico, ca"
"pírrico, ca"
"pítico, ca"
"póntico, ca"
"póstumo, ma"
"púbero, ra"
"púbico, ca"
"público, ca"
"púdico, ca"
"púnico, ca"
"púrico, ca"
"pútrido, da"
"quebequés, sa"
"quebradizo, za"
"quebrado, da"
"quebrador, ra"
"quebrajoso, sa"
"quebrandoso, sa"
"quebrantado, da"
"quebrantador, ra"
"quedadizo, za"
"quedo, da"
"quejicoso, sa"
"quejilloso, sa"
"quejoso, sa"
"quejumbroso, sa"
"quelador, ra"
"quelitero, ra"
"quemadero, ra"
"quemador, ra"
"quemajoso, sa"
"quemazoso, sa"
"quenopodiáceo, a"
"querellado, da"
"querellador, ra"
"querelloso, sa"
"querencioso, sa"
"querendón, na"
"queretano, na"
"querido, da"
"querindango, ga"
"querindongo, ga"
"querusco, ca"
"querúbico, ca"
"quesero, ra"
"quetzalteco, ca"
"quevedesco, ca"
"quibdoano, na"
quienesquiera
"quietador, ra"
"quieto, ta"
"quijarudo, da"
"quijotesco, ca"
"quillacolleño, ña"
"quillotano, na"
"quillotrador, ra"
"quilombero, ra"
"quilométrico, ca"
"quiloso, sa"
"quiltro, tra"
"quilífero, ra"
"quimerino, na"
"quimicofísico, ca"
"quimérico, ca"
"quinado, da"
"quinario, ria"
"quincallero, ra"
"quinceavo, va"
"quinceañero, ra"
"quincenario, ria"
"quinceno, na"
"quincuagenario, ria"
"quincuagésimo, ma"
"quindiano, na"
"quindécimo, ma"
"quinesiológico, ca"
"quinesioterápico, ca"
"quinesiterápico, ca"
"quinesiólogo, ga"
"quingentésimo, ma"
"quinicho, cha"
"quinielero, ra"
"quinielístico, ca"
"quinientos, tas"
"quinquillero, ra"
"quintador, ra"
"quintalero, ra"
"quintaleño, ña"
"quintañón, na"
"quintillizo, za"
"quinto, ta"
"quinzavo, va"
"quinésico, ca"
"quiosquero, ra"
"quiritario, ria"
"quirografario, ria"
"quiromántico, ca"
"quiropráctico, ca"
"quirurgo, ga"
"quirógrafo, fa"
"quirúrgico, ca"
"quisneto, ta"
"quisquilloso, sa"
"quisto, ta"
"quitado, da"
"quitador, ra"
"quiteño, ña"
"quitinoso, sa"
"quito, ta"
"químico, ca"
"quíntuplo, pla"
"quío, a"
"quístico, ca"
"rabalero, ra"
"rabanero, ra"
"rabelero, ra"
"rabicano, na"
"rabicorto, ta"
"rabilargo, ga"
"rabioso, sa"
"rabisalsero, ra"
"raboseado, da"
"raboso, sa"
"rabudo, da"
"rabínico, ca"
"rabón, na"
"racheado, da"
"racimado, da"
"racimoso, sa"
"racimudo, da"
"racionero, ra"
"radiactivo, va"
"radiado, da"
"radicoso, sa"
"radioactivo, va"
"radioaficionado, da"
"radioastronómico, ca"
"radioastrónomo, ma"
radiobemba
"radiodifusor, ra"
"radioeléctrico, ca"
"radiofísico, ca"
"radiofónico, ca"
"radiográfico, ca"
"radiológico, ca"
"radioperador, ra"
"radioscópico, ca"
"radioso, sa"
"radiotelefónico, ca"
"radiotelegráfico, ca"
"radioterapéutico, ca"
"radioterápico, ca"
"radiotécnico, ca"
"radiotóxico, ca"
"radiólogo, ga"
"raedizo, za"
"raedor, ra"
"raguseo, a"
"rajadizo, za"
"rajado, da"
"rajador, ra"
"rajón, na"
"raleón, na"
"rallado, da"
"rallador, ra"
"ralo, la"
"ramblero, ra"
"rameado, da"
"ramilletero, ra"
"ramnáceo, a"
"ramoniano, na"
"ramoso, sa"
"ramplón, na"
"rancagüino, na"
"rancajado, da"
"ranchero, ra"
"rancio, cia"
"rancioso, sa"
"rancuroso, sa"
"randado, da"
"rangoso, sa"
"ranquelino, na"
"ranunculáceo, a"
"ranurado, da"
"rapador, ra"
"rapaz, za"
"rapero, ra"
"rapiñador, ra"
"raposero, ra"
"raposino, na"
"raposo, sa"
"raposuno, na"
"rapsódico, ca"
"raptor, ra"
"raquero, ra"
"raquetero, ra"
"raquídeo, a"
"raquítico, ca"
"rarificativo, va"
"raro, ra"
"rascón, na"
"rasgado, da"
"rasgador, ra"
"rasgueador, ra"
"raso, sa"
"raspinegro, gra"
"rasposo, sa"
"raspudo, da"
"rastacuero, ra"
"rastillador, ra"
"rastreador, ra"
"rastrero, ra"
"rastrillador, ra"
"rasurador, ra"
"ratero, ra"
"ratificatorio, ria"
"ratino, na"
"ratonero, ra"
"ratonesco, ca"
"ratón, na"
"rauco, ca"
"raudo, da"
"ravenés, sa"
"rayado, da"
"rayano, na"
"rayoso, sa"
"razado, da"
"razonado, da"
"razonador, ra"
"raído, da"
"reabierto, ta"
"reaccionario, ria"
"reacio, cia"
"reactivo, va"
"reagudo, da"
"realengo, ga"
"realizador, ra"
"realquilado, da"
"realístico, ca"
"reanimador, ra"
"reasegurador, ra"
"reatino, na"
"rebajado, da"
"rebajador, ra"
"rebañador, ra"
"rebañego, ga"
"rebelón, na"
"rebisabuelo, la"
"rebisco, ca"
"rebisnieto, ta"
"rebocero, ra"
"rebolludo, da"
"rebotado, da"
"rebotador, ra"
"reboteador, ra"
"rebotero, ra"
"rebrincado, da"
"rebujado, da"
"rebultado, da"
"rebuscado, da"
"rebuscador, ra"
"rebuznador, ra"
"recadero, ra"
"recalvastro, tra"
"recamador, ra"
"recamarero, ra"
"recatado, da"
"recatón, na"
"recaudador, ra"
"recaudatorio, ria"
"recaudero, ra"
"receloso, sa"
"recensor, ra"
"recentísimo, ma"
"receptador, ra"
"receptivo, va"
"receptor, ra"
"recercador, ra"
"recesivo, va"
"recetador, ra"
"rechazador, ra"
"rechinador, ra"
"rechoncho, cha"
"recibidero, ra"
"recibidor, ra"
"reciclador, ra"
"recio, cia"
"recipiendario, ria"
"recitador, ra"
"recitante, ta"
"recluso, sa"
"reclutador, ra"
"recocho, cha"
"recocido, da"
"recogedor, ra"
"recogido, da"
"recolector, ra"
"recoleto, ta"
"recomendado, da"
"recomendatorio, ria"
"recompuesto, ta"
"reconcentrado, da"
"reconciliador, ra"
"reconciliatorio, ria"
"reconfortador, ra"
"reconocedor, ra"
"reconocido, da"
"reconquistador, ra"
"reconstructivo, va"
"recontento, ta"
"recopilador, ra"
"recopilatorio, ria"
"recordador, ra"
"recordativo, va"
"recordatorio, ria"
"recortado, da"
"recorvo, va"
"recovero, ra"
"recreador, ra"
"recreativo, va"
"recrementicio, cia"
"recreído, da"
"recriador, ra"
"recriminador, ra"
"recriminatorio, ria"
"rectificador, ra"
"rectificativo, va"
"rectilíneo, a"
"recto, ta"
"rector, ra"
"rectángulo, la"
"recubierto, ta"
"recuestador, ra"
"reculo, la"
"recuperador, ra"
"recuperativo, va"
"recurrido, da"
"recursivo, va"
"recíproco, ca"
"recóndito, ta"
"redactor, ra"
"redentor, ra"
"redero, ra"
"redescubierto, ta"
"redhibitorio, ria"
"redicho, cha"
"redimidor, ra"
"redistributivo, va"
"redivivo, va"
"redoblado, da"
"redoblón, na"
"redomado, da"
"redomón, na"
"redondeado, da"
"redondo, da"
"reducido, da"
"reducidor, ra"
"reductivo, va"
"reductor, ra"
"reedificador, ra"
"reelecto, ta"
"reengendrador, ra"
"reescrito, ta"
"reestructurador, ra"
"refaccionario, ria"
"refalsado, da"
"refeccionario, ria"
"refectolero, ra"
"referendario, ria"
"refertero, ra"
"refinado, da"
"refinador, ra"
"refino, na"
"refistolero, ra"
"refitolero, ra"
"reflector, ra"
"reflejo, ja"
"reflexivo, va"
"reflexológico, ca"
"reflexólogo, ga"
"reformado, da"
"reformador, ra"
"reformativo, va"
"reformatorio, ria"
"reforzado, da"
"reforzador, ra"
"refractario, ria"
"refractivo, va"
"refracto, ta"
"refranesco, ca"
"refrendario, ria"
"refrescador, ra"
"refresquero, ra"
"refrigerador, ra"
"refrigerativo, va"
"refugiado, da"
"refundidor, ra"
"refunfuñador, ra"
"refunfuñón, na"
"refutatorio, ria"
"regadizo, za"
"regador, ra"
"regadío, a"
"regalado, da"
"regalador, ra"
"regalón, na"
"regateador, ra"
"regatero, ra"
"regatón, na"
"regañón, na"
"regenerador, ra"
"regenerativo, va"
"regente, ta"
"regidor, ra"
"regio, gia"
"regiomontano, na"
"regionario, ria"
"registrador, ra"
"regitivo, va"
"reglado, da"
"reglamentario, ria"
"regocijado, da"
"regocijador, ra"
"regoldano, na"
"regordete, ta"
"regordido, da"
"regresivo, va"
"regulado, da"
"regulador, ra"
"regularizador, ra"
"regulativo, va"
"rehabilitador, ra"
"reharto, ta"
"rehecho, cha"
"rehilado, da"
"rehiletero, ra"
"reidero, ra"
"reidor, ra"
"reilón, na"
"reimpreso, sa"
"reinador, ra"
"reinsertado, da"
"reiterado, da"
"reiterativo, va"
"reivindicador, ra"
"reivindicativo, va"
"reivindicatorio, ria"
"rejego, ga"
"rejileto, ta"
"rejoneador, ra"
"rejuvenecedor, ra"
"relajado, da"
"relajador, ra"
"relajiento, ta"
"relajón, na"
"relambido, da"
"relamido, da"
"relanciado, da"
"relapso, sa"
"relatador, ra"
"relativizador, ra"
"relativo, va"
"relator, ra"
"religionario, a"
"religioso, sa"
"relimpio, pia"
"relinchador, ra"
"relindo, da"
"relleno, na"
"relocho, cha"
"relojero, ra"
"relso, sa"
"relumbroso, sa"
"remachado, da"
"remachador, ra"
"remador, ra"
"remangado, da"
"remanoso, sa"
"rematado, da"
"rematador, ra"
"remecedor, ra"
"remedador, ra"
"remediador, ra"
"remellado, da"
"remellón, na"
"rememorativo, va"
"remendado, da"
"remendón, na"
"remero, ra"
"remesero, ra"
"remilgado, da"
"remirado, da"
"remisivo, va"
"remiso, sa"
"remisorio, ria"
"remolachero, ra"
"remolcador, ra"
"remolón, na"
"remordedor, ra"
"remoto, ta"
"remunerador, ra"
"remunerativo, va"
"remuneratorio, ria"
"remático, ca"
"renacuajo, ja"
"renano, na"
"rencilloso, sa"
"renco, ca"
"rencoroso, sa"
"rencuroso, sa"
"rendido, da"
"rendidor, ra"
"renegado, da"
"renegador, ra"
"renegrido, da"
"renegón, na"
"rengo, ga"
"reno, na"
"renombrado, da"
"renovador, ra"
"renovero, ra"
"rentado, da"
"rentero, ra"
"rentoso, sa"
"rentístico, ca"
"renunciatario, ria"
"reo, a"
"reorganizador, ra"
"repajolero, ra"
"reparado, da"
"reparador, ra"
"reparativo, va"
"repartidero, ra"
"repartidor, ra"
"reparón, na"
"repeinado, da"
repelada
"repeloso, sa"
"repelón, na"
"repentino, na"
"repentizador, ra"
"repercusivo, va"
"repetidor, ra"
"repetitivo, va"
"repiso, sa"
"repleto, ta"
"replicador, ra"
"replicón, na"
"repoblador, ra"
"repolludo, da"
"reponedor, ra"
"reportero, ra"
"reposado, da"
"reposero, ra"
"repostero, ra"
"reprendedor, ra"
"reprensivo, va"
"reprensor, ra"
"representador, ra"
"representativo, va"
"represivo, va"
"represor, ra"
"reprimido, da"
"repristinador, ra"
"reprobado, da"
"reprobador, ra"
"reprobatorio, ria"
"reprochador, ra"
"reproductivo, va"
"reproductor, ra"
"reprográfico, ca"
"repropio, pia"
"reprógrafo, fa"
"reptador, ra"
"reptiliano, na"
"republicano, na"
"repuesto, ta"
"repujador, ra"
"repulgado, da"
"repulsivo, va"
"reputado, da"
"requebrador, ra"
"requemado, da"
"requeridor, ra"
"requesonero, ra"
"requintador, ra"
"requisitorio, ria"
"resabiado, da"
"resabido, da"
"resabioso, sa"
"resalado, da"
"resbaladero, ra"
"resbaladizo, za"
"resbalador, ra"
"resbaloso, sa"
"rescatador, ra"
"rescisorio, ria"
"rescriptorio, ria"
"reseco, ca"
"resedáceo, a"
"resentido, da"
"resequido, da"
"resero, ra"
"reservado, da"
"reservativo, va"
"reservón, na"
"reseñador, ra"
"resfriador, ra"
"resignado, da"
"resinero, ra"
"resinoso, sa"
"resinífero, ra"
"resistenciano, na"
"resistidor, ra"
"resistivo, va"
"resobado, da"
"resobrino, na"
"resolano, na"
"resolutivo, va"
"resoluto, ta"
"resolutorio, ria"
"resonador, ra"
"respectivo, va"
"respetador, ra"
"respetivo, va"
"respetoso, sa"
"respetuoso, sa"
"respigador, ra"
"respingado, da"
"respingón, na"
"respirador, ra"
"respiratorio, ria"
"respondedor, ra"
"respondón, na"
"responsivo, va"
"resquebrajadizo, za"
"resquebrajoso, sa"
"restado, da"
"restaurador, ra"
"restaurantero, ra"
"restaurativo, va"
"restituidor, ra"
"restitutorio, ria"
"restrictivo, va"
"restricto, ta"
"restriñidor, ra"
"resucitador, ra"
"resuelto, ta"
"resultón, na"
"resurtivo, va"
"retablero, ra"
"retacero, ra"
"retaco, ca"
"retador, ra"
"retaliador, ra"
"retaliativo, va"
"retalteco, ca"
"retamero, ra"
"retardado, da"
"retardador, ra"
"retardatario, ria"
"retardativo, va"
"retardatorio, ria"
"retejador, ra"
"retenedor, ra"
"retentivo, va"
"retiniano, na"
"retinto, ta"
"retirado, da"
"retobado, da"
"retobo, ba"
"retocador, ra"
"retorcido, da"
"retorromano, na"
"retorrománico, ca"
"retorsivo, va"
"retostado, da"
"retozador, ra"
"retozón, na"
"retrasado, da"
"retratador, ra"
"retraído, da"
"retrechero, ra"
"retrepado, da"
"retributivo, va"
"retroactivo, va"
"retroalimentador, ra"
"retroflejo, ja"
"retropróximo, ma"
"retrospectivo, va"
"retrógrado, da"
"retuerto, ta"
"retórico, ca"
"reucliniano, na"
"reumatoideo, a"
"reumatológico, ca"
"reumatólogo, ga"
"reumático, ca"
"revalorizador, ra"
"revecero, ra"
"revejido, da"
"revejudo, da"
"revelador, ra"
"revelandero, ra"
"revendedor, ra"
"revendón, na"
"reventado, da"
"reventón, na"
"reverenciador, ra"
"reverencioso, sa"
"reverendo, da"
"reverendísimo, ma"
"revesado, da"
"reviejo, ja"
"revirado, da"
"revisor, ra"
"revistero, ra"
"revisto, ta"
"revitalizador, ra"
"revocador, ra"
"revocatorio, ria"
"revolero, ra"
"revoltoso, sa"
"revolucionario, ria"
"revolvedor, ra"
"revuelto, ta"
"revulsivo, va"
"revulsorio, ria"
"rey, reina"
"reyesano, na"
"reyuno, na"
"rezador, ra"
"rezandero, ra"
"rezongador, ra"
"rezonglón, na"
"rezonguero, ra"
"rezongón, na"
"reñido, da"
"reñidor, ra"
"ribagorzano, na"
"ribaldo, da"
"riberalteño, ña"
"riberano, na"
"ribereño, ña"
"riberiego, ga"
"ribeteado, da"
"ribeteador, ra"
"ribosómico, ca"
"ricacho, cha"
"rico, ca"
"ridiculoso, sa"
"ridículo, la"
"rielero, ra"
"riesgoso, sa"
"rifador, ra"
"rifeño, ña"
"riflero, ra"
"rigoroso, sa"
"riguroso, sa"
"rijador, ra"
"rijioso, sa"
"rijoso, sa"
"rimador, ra"
"rinoceronte, ta"
"rinólogo, ga"
"riobambeño, ña"
"riohachero, ra"
"riojano, na"
"rionegrino, na"
"riosellano, na"
"ripioso, sa"
"risaraldeño, ña"
"riscoso, sa"
"rispo, pa"
"ristolero, ra"
"risueño, ña"
"rito, ta"
"rizado, da"
"rizador, ra"
"rizo, za"
"rizofito, ta"
"rizoforáceo, a"
"rizofóreo, a"
"rizomatoso, sa"
"rizoso, sa"
"rizófago, ga"
"rizófito, ta"
"riñoso, sa"
"roano, na"
"roanés, sa"
"robador, ra"
"robinsoniano, na"
"robladero, ra"
"roblizo, za"
"roborativo, va"
"robustecedor, ra"
"robusto, ta"
"robótico, ca"
"rocalloso, sa"
"rocambolesco, ca"
"rocanrolero, ra"
"rocero, ra"
"rochelero, ra"
"rochelés, sa"
"rochoso, sa"
"rociero, ra"
"rociniego, ga"
"roco, ca"
"rocolo, la"
"rocoso, sa"
"rodadero, ra"
"rodadizo, za"
"rodado, da"
"rodador, ra"
"rodeador, ra"
"rodeno, na"
"rodero, ra"
"rodillero, ra"
"rodilludo, da"
"rodio, dia"
"rodrejo, ja"
"roedor, ra"
"rogado, da"
"rogador, ra"
"rogativo, va"
"rogatorio, ria"
"rojeto, ta"
"rojigualdo, da"
"rojillo, lla"
"rojizo, za"
"rojo, ja"
"rollizo, za"
"rolo, la"
"romanceador, ra"
"romancero, ra"
"romancesco, ca"
"romancístico, ca"
"romanesco, ca"
"romano, na"
"romanzador, ra"
"romboideo, a"
"romboédrico, ca"
"romeo, a"
"romeriego, ga"
"romero, ra"
"romo, ma"
"rompedero, ra"
"rompedizo, za"
"rompedor, ra"
"rompelón, na"
"románico, ca"
"romántico, ca"
"roncador, ra"
"roncalés, sa"
"roncero, ra"
"ronco, ca"
"rondador, ra"
"rondeño, ña"
"ropavejero, ra"
"ropero, ra"
"roquero, ra"
"roqueño, ña"
"rosado, da"
"rosariero, ra"
"rosarino, na"
"roscado, da"
"rosellonés, sa"
"rosero, ra"
"rosillo, lla"
"rosmarino, na"
"roso, sa"
"rosqueado, da"
"rosquero, ra"
"rosquillero, ra"
"rostrado, da"
"rostritorcido, da"
"rostrituerto, ta"
"rosáceo, a"
"rotador, ra"
"rotario, ria"
"rotativo, va"
"rotatorio, ria"
"roto, ta"
"rotoso, sa"
"rotulador, ra"
"rotuliano, na"
"rotundo, da"
"roturador, ra"
"royo, ya"
"rozador, ra"
"roído, da"
"roñoso, sa"
"ruandés, sa"
"ruano, na"
"ruanés, sa"
"rubeniano, na"
"rubicundo, da"
"rubicán, na"
"rubio, bia"
"rubiáceo, a"
"ruboroso, sa"
"rubro, bra"
"rucho, cha"
"rucio, cia"
"ruco, ca"
"rudimentario, ria"
"rudo, da"
"rufianesco, ca"
"rufián, na"
"rufo, fa"
"rugidor, ra"
"ruginoso, sa"
"rugoso, sa"
"ruidoso, sa"
"ruinoso, sa"
"ruletero, ra"
"rumano, na"
"rumbeador, ra"
"rumbero, ra"
"rumboso, sa"
"rumbático, ca"
"rumbón, na"
"rumiador, ra"
"rumión, na"
"rumoroso, sa"
"runo, na"
"ruso, sa"
"rusticano, na"
"ruteno, na"
"rutero, ra"
"rutinario, ria"
"rutinero, ra"
"rutáceo, a"
"ruñido, da"
"rábico, ca"
"rábido, da"
"rácano, na"
"rámeo, a"
"rámneo, a"
"rápido, da"
"réprobo, ba"
"rético, ca"
"rígido, da"
"ríspido, da"
"rítmico, ca"
"rómbico, ca"
"róseo, a"
"rótico, ca"
"rúbeo, a"
"rúnico, ca"
"rústico, ca"
"rútilo, la"
"sabanalamarino, na"
"sabanero, ra"
"sabatario, ria"
"sabatino, na"
"sabedor, ra"
"sabeliano, na"
"sabeo, a"
"sabidillo, lla"
"sabido, da"
"sabidor, ra"
"sabihondo, da"
"sabino, na"
"sabio, bia"
"sabiondo, da"
"sableador, ra"
"sablero, ra"
"saboreador, ra"
"saboroso, sa"
"saboteador, ra"
"saboyano, na"
"sabroso, sa"
"sabrosón, na"
"sabueso, sa"
"sabuloso, sa"
"saburroso, sa"
"sabático, ca"
"sabélico, ca"
"sacabeño, ña"
"sacador, ra"
"sacapulteco, ca"
"sacarino, na"
"sacaroideo, a"
"sacarífero, ra"
"sacarígeno, na"
"sacerdote, tisa"
"sacio, cia"
"sacramentario, ria"
"sacramentino, na"
"sacratísimo, ma"
"sacrificador, ra"
"sacristanesco, ca"
"sacristán, na"
"sacro, cra"
"sacrosanto, ta"
"sacrílego, ga"
"sacudido, da"
"sacudidor, ra"
"sacón, na"
"saduceo, a"
"saetero, ra"
"safrisco, ca"
"sagitariano, na"
"sagrado, da"
"sagrativo, va"
"saguntino, na"
"sahariano, na"
"sahumado, da"
"sahárico, ca"
"sainetero, ra"
"sainetesco, ca"
"sajurín, na"
"sajón, na"
"salacenco, ca"
"salado, da"
"salador, ra"
"salamandrino, na"
"salamanquero, ra"
"salamanquino, na"
"salamanqués, sa"
"salamateco, ca"
"salazonero, ra"
"salchichero, ra"
"saledizo, za"
"salentino, na"
"salernitano, na"
"saleroso, sa"
"salesiano, na"
"salicáceo, a"
"salicíneo, a"
"salidero, ra"
"salido, da"
"salinero, ra"
"salino, na"
"salio, lia"
"salitrado, da"
"salitrero, ra"
"salitroso, sa"
"salivoso, sa"
"sallador, ra"
"salmantino, na"
"salmonado, da"
"salmonero, ra"
"salobreño, ña"
"salomónico, ca"
"salonero, ra"
"salpicón, na"
"salpreso, sa"
"salsero, ra"
"salso, sa"
"salsoláceo, a"
"saltadizo, za"
"saltado, da"
"saltador, ra"
"saltanejoso, sa"
